studytime,absences,pref_resource,daily_study_hours,subject,preferred_strategy,learning_style,learning_style_name,predicted_strategy,predicted_strategy_name,study_topic,resources,advice
0.085159943370549,0.2865905128638967,3,-0.0743294146247166,1,2,3,Reading,3,Note-Taking,biology,Nature: Biology (https://www.nature.com/subjects/biology),Use Cornell Notes. Summarize key points after sessions.
0.085159943370549,-0.090502267220178,4,0.6689647316224496,1,2,3,Reading,2,Spaced Repetition,history,History.com: Topics (https://www.history.com/topics),Review material at intervals. Use Quizlet (https://quizlet.com).
0.085159943370549,1.040776073032046,1,0.6689647316224496,1,1,2,Kinesthetic,1,Active Recall,machine learning,TensorFlow Playground: ML (https://playground.tensorflow.org),Test yourself with flashcards. Try Anki (https://apps.ankiweb.net).
1.5044923328796975,-0.4675950473042527,3,-1.5609177071190492,3,1,3,Reading,1,Active Recall,history,History.com: Topics (https://www.history.com/topics),Test yourself with flashcards. Try Anki (https://apps.ankiweb.net).
0.085159943370549,-0.090502267220178,3,-0.0743294146247166,1,3,3,Reading,3,Note-Taking,history,History.com: Topics (https://www.history.com/topics),Use Cornell Notes. Summarize key points after sessions.
0.085159943370549,1.040776073032046,4,1.412258877869616,1,0,3,Reading,1,Active Recall,physics,Scientific American: Physics (https://www.scientificamerican.com/physics/),Test yourself with flashcards. Try Anki (https://apps.ankiweb.net).
0.085159943370549,-0.8446878273883274,1,-0.0743294146247166,1,2,1,Auditory,2,Spaced Repetition,machine learning,Data Skeptic: Machine Learning (https://dataskeptic.com),Review material at intervals. Use Quizlet (https://quizlet.com).
0.085159943370549,0.2865905128638967,1,1.412258877869616,3,2,2,Kinesthetic,2,Spaced Repetition,machine learning,TensorFlow Playground: ML (https://playground.tensorflow.org),Review material at intervals. Use Quizlet (https://quizlet.com).
0.085159943370549,-0.8446878273883274,3,-1.5609177071190492,1,3,3,Reading,3,Note-Taking,machine learning,Medium: ML Basics (https://medium.com/topic/machine-learning),Use Cornell Notes. Summarize key points after sessions.
0.085159943370549,-0.8446878273883274,2,-0.8176235608718829,1,2,1,Auditory,2,Spaced Repetition,history,History Extra: World History (https://www.historyextra.com/podcasts),Review material at intervals. Use Quizlet (https://quizlet.com).
0.085159943370549,-0.8446878273883274,3,0.6689647316224496,3,0,3,Reading,0,Pomodoro,biology,Nature: Biology (https://www.nature.com/subjects/biology),Study in 25-minute sessions with 5-minute breaks. Use Focus Booster.
1.5044923328796975,-0.090502267220178,3,-1.5609177071190492,3,3,3,Reading,3,Note-Taking,machine learning,Medium: ML Basics (https://medium.com/topic/machine-learning),Use Cornell Notes. Summarize key points after sessions.
-1.3341724461385998,-0.4675950473042527,3,0.6689647316224496,3,0,1,Auditory,2,Spaced Repetition,history,History Extra: World History (https://www.historyextra.com/podcasts),Review material at intervals. Use Quizlet (https://quizlet.com).
0.085159943370549,-0.4675950473042527,3,-0.8176235608718829,1,3,3,Reading,3,Note-Taking,physics,Scientific American: Physics (https://www.scientificamerican.com/physics/),Use Cornell Notes. Summarize key points after sessions.
1.5044923328796975,-0.8446878273883274,4,-0.8176235608718829,3,3,3,Reading,3,Note-Taking,biology,Nature: Biology (https://www.nature.com/subjects/biology),Use Cornell Notes. Summarize key points after sessions.
-1.3341724461385998,-0.090502267220178,1,-1.5609177071190492,3,1,1,Auditory,1,Active Recall,physics,StarTalk Radio: Physics (https://www.startalkradio.net),Test yourself with flashcards. Try Anki (https://apps.ankiweb.net).
1.5044923328796975,0.2865905128638967,4,-0.8176235608718829,1,0,3,Reading,0,Pomodoro,biology,Nature: Biology (https://www.nature.com/subjects/biology),Study in 25-minute sessions with 5-minute breaks. Use Focus Booster.
0.085159943370549,-0.090502267220178,4,1.412258877869616,3,2,3,Reading,2,Spaced Repetition,history,History.com: Topics (https://www.history.com/topics),Review material at intervals. Use Quizlet (https://quizlet.com).
-1.3341724461385998,2.17205441328427,4,-0.8176235608718829,1,2,0,Visual,2,Spaced Repetition,calculus,Khan Academy: Calculus (https://www.khanacademy.org/math/calculus-1),Review material at intervals. Use Quizlet (https://quizlet.com).
-1.3341724461385998,-0.090502267220178,3,0.6689647316224496,2,0,1,Auditory,0,Pomodoro,biology,This Week in Science: Biology (https://www.twis.org),Study in 25-minute sessions with 5-minute breaks. Use Focus Booster.
0.085159943370549,-0.8446878273883274,2,0.6689647316224496,3,2,1,Auditory,2,Spaced Repetition,physics,StarTalk Radio: Physics (https://www.startalkradio.net),Review material at intervals. Use Quizlet (https://quizlet.com).
-1.3341724461385998,-0.8446878273883274,1,0.6689647316224496,2,2,1,Auditory,2,Spaced Repetition,history,History Extra: World History (https://www.historyextra.com/podcasts),Review material at intervals. Use Quizlet (https://quizlet.com).
0.085159943370549,-0.4675950473042527,2,0.6689647316224496,1,0,1,Auditory,3,Note-Taking,biology,This Week in Science: Biology (https://www.twis.org),Use Cornell Notes. Summarize key points after sessions.
0.085159943370549,-0.8446878273883274,4,1.412258877869616,3,3,3,Reading,3,Note-Taking,calculus,BetterExplained: Calculus (https://betterexplained.com/articles/a-gentle-introduction-to-calculus/),Use Cornell Notes. Summarize key points after sessions.
1.5044923328796975,-0.4675950473042527,4,-0.0743294146247166,1,0,3,Reading,0,Pomodoro,calculus,BetterExplained: Calculus (https://betterexplained.com/articles/a-gentle-introduction-to-calculus/),Study in 25-minute sessions with 5-minute breaks. Use Focus Booster.
-1.3341724461385998,1.7949616332001954,2,-1.5609177071190492,2,3,0,Visual,3,Note-Taking,machine learning,freeCodeCamp: Machine Learning (https://www.youtube.com/watch?v=Eo9L-TWFZ3I),Use Cornell Notes. Summarize key points after sessions.
-1.3341724461385998,-0.4675950473042527,2,0.6689647316224496,1,2,1,Auditory,2,Spaced Repetition,machine learning,Data Skeptic: Machine Learning (https://dataskeptic.com),Review material at intervals. Use Quizlet (https://quizlet.com).
-1.3341724461385998,-0.090502267220178,2,-0.8176235608718829,3,2,1,Auditory,2,Spaced Repetition,physics,StarTalk Radio: Physics (https://www.startalkradio.net),Review material at intervals. Use Quizlet (https://quizlet.com).
0.085159943370549,-0.090502267220178,4,0.6689647316224496,3,2,3,Reading,2,Spaced Repetition,biology,Nature: Biology (https://www.nature.com/subjects/biology),Review material at intervals. Use Quizlet (https://quizlet.com).
0.085159943370549,2.17205441328427,4,-0.8176235608718829,2,1,0,Visual,1,Active Recall,biology,Bozeman Science: Biology (https://www.youtube.com/user/bozemanscience),Test yourself with flashcards. Try Anki (https://apps.ankiweb.net).
0.085159943370549,-0.8446878273883274,1,-0.8176235608718829,1,3,1,Auditory,3,Note-Taking,machine learning,Data Skeptic: Machine Learning (https://dataskeptic.com),Use Cornell Notes. Summarize key points after sessions.
0.085159943370549,-0.8446878273883274,1,0.6689647316224496,3,1,1,Auditory,1,Active Recall,biology,This Week in Science: Biology (https://www.twis.org),Test yourself with flashcards. Try Anki (https://apps.ankiweb.net).
0.085159943370549,-0.8446878273883274,4,1.412258877869616,2,1,3,Reading,1,Active Recall,biology,Nature: Biology (https://www.nature.com/subjects/biology),Test yourself with flashcards. Try Anki (https://apps.ankiweb.net).
0.085159943370549,-0.8446878273883274,2,-0.8176235608718829,3,0,1,Auditory,2,Spaced Repetition,calculus,The Math Factor: Math Topics (http://mathfactor.uark.edu),Review material at intervals. Use Quizlet (https://quizlet.com).
-1.3341724461385998,-0.8446878273883274,2,-0.8176235608718829,3,1,1,Auditory,1,Active Recall,machine learning,Data Skeptic: Machine Learning (https://dataskeptic.com),Test yourself with flashcards. Try Anki (https://apps.ankiweb.net).
-1.3341724461385998,-0.8446878273883274,1,0.6689647316224496,1,0,1,Auditory,0,Pomodoro,history,History Extra: World History (https://www.historyextra.com/podcasts),Study in 25-minute sessions with 5-minute breaks. Use Focus Booster.
